,date,open,high,low,close,volume,sma,macd,stochastic_k,stochastic_d,rsi,william_r,trend,trading_signal,trading_decision,p_t_s_lstm
93,1981-06-26,0.524554,0.524554,0.520089,0.023407,5947200.0,0.024726400000000003,-0.0006098532097520147,45.48694753541577,56.77486864424304,42.505036781322644,768.2206323563355,down,0.5,,
94,1981-06-29,0.506696,0.506696,0.502232,0.022603,2648800.0,0.024599133333333332,-0.0007594291699994336,39.578846755828245,51.13720020632187,37.72253410051403,769.3121190317809,down,0.5,,
95,1981-06-30,0.466518,0.466518,0.464286,0.020896,8976800.0,0.024324600000000002,-0.0010093330688950503,33.34771276191864,45.398819544791486,30.00369873991805,652.9165805132449,down,0.5,,
96,1981-07-01,0.462054,0.462054,0.459821,0.020695,42616000.0,0.024016533333333333,-0.001212457016353627,27.225209649218264,39.471169017720854,29.24486308251821,454.8728,down,0.3502487562189045,,
97,1981-07-02,0.459821,0.462054,0.459821,0.020695,7571200.0,0.023634800000000004,-0.0013310474624034054,21.692068611253678,33.38392305565501,29.24486308251821,457.6876710543463,down,0.40634723086496505,,
98,1981-07-06,0.448661,0.448661,0.444196,0.019991,4132800.0,0.02322620000000001,-0.0014622063337773744,16.879110796319942,27.42166367413016,26.520297342186183,464.8951350633834,down,0.3386319845857416,,
99,1981-07-07,0.448661,0.453125,0.448661,0.020192,3959200.0,0.02283773333333334,-0.001523650069614229,13.090585336131511,21.932129685597264,28.566541524621574,439.2031999999999,down,0.3709055876685931,,
100,1981-07-08,0.466518,0.46875,0.466518,0.020996,4155200.0,0.022536333333333332,-0.0014606056535532395,10.73309264729823,17.220588247901677,36.21782145052817,464.6012819629195,down,0.5,,
101,1981-07-09,0.433036,0.433036,0.430804,0.019389,8220800.0,0.0221546,-0.001531969673371169,8.80053232275345,13.567596259916527,29.4320727311421,465.9857674546831,down,0.4411592505854802,,
102,1981-07-10,0.399554,0.399554,0.397321,0.017882,13792800.0,0.021679133333333333,-0.001715477991664268,7.250852181520437,10.874736768727695,24.749142702076302,469.97858557258974,down,0.0,,
103,1981-07-13,0.40625,0.408482,0.40625,0.018284,11435200.0,0.02127733333333333,-0.0017796764067759434,6.244724258713752,8.928159050524004,28.038380218845035,378.3741306247751,down,0.0,,
104,1981-07-14,0.424107,0.428571,0.424107,0.019087,4944800.0,0.02098933333333334,-0.0017476910162283685,6.009438329384526,7.432036254329178,34.22324752458779,377.7843875999735,down,0.0,,
